2.669527430439527782e-01,1.015622168963946415e+00,5.085676525057033492e-01,1.282020393650126655e+00,6.378137394325803511e-01
-8.508378117926841400e-01,9.992937012606828429e-01,4.672576643184815359e-01,9.835680510708244562e-01,1.050372368019162783e+00
9.209098411902579828e-01,1.212535386105442203e+00,6.018328990379964161e-01,7.551108570354299054e-01,9.018740209162612320e-01
3.749277984604262315e-01,8.293087181802969443e-01,1.006983162600440185e+00,9.970106720399738442e-01,1.457928995846382136e+00
1.097093003161278446e+00,8.196572943449249582e-01,5.916004345408067966e-01,8.695258494785592651e-01,1.139664200034245845e+00
4.988178665084089802e-01,9.812673549454378197e-01,9.482502506949933574e-01,1.920312075349507319e-01,4.539040456450641470e-01
3.445644586344829285e-01,1.267278288110164963e+00,6.203607538495653495e-01,5.508095245061018774e-01,1.670651138798156632e+00
1.188015880031794147e+00,-2.643209176369964997e-01,5.791916658327813661e-01,1.036955451725415811e+00,9.800863727277422388e-01
1.151157176370119828e+00,5.921502559227515006e-01,1.197038062222422816e+00,1.207850929718142785e+00,1.334089264538624420e+00
1.202665176959809124e+00,4.852889349140193098e-01,1.090208622473091138e+00,1.184707118541850512e+00,1.122244485603390851e+00
9.685028207779138310e-01,9.122019203799137665e-01,1.087715712881336172e+00,9.473161891608505858e-01,2.722715060873466264e-01
5.224622970545664824e-01,5.573996122167828027e-01,8.131622751681745198e-01,5.740114446689955630e-01,9.329329842406427487e-01
8.072701890166743555e-01,7.901798293195301248e-01,6.546388677214346474e-01,1.297620749482413904e+00,1.125714914815706180e+00
9.281843006813135233e-01,8.063313129913322053e-01,1.230061290187185907e+00,1.145556248200927385e+00,1.090414798900781079e+00
3.035405164819156010e-01,1.541971453313728979e+00,5.447146491373374699e-01,2.113883503737598590e-01,1.081475147338822440e+00
1.010244708360255927e+00,-3.018871322912130006e-01,9.260855564961170128e-01,6.381972493917363876e-01,8.370584799764974049e-01
1.534137220564578685e+00,6.543118289638009122e-01,1.157719019204820787e+00,5.861499151495584981e-01,1.455167506619222673e-01
1.680692767823796840e+00,1.222826912378886188e+00,4.098528680576424277e-01,5.246935037223581233e-01,5.827351880527911199e-01
3.805907879009873263e-01,6.269458343238636100e-02,1.236505038556964697e+00,1.066833411553472777e+00,7.906219972954422470e-01
2.320920628668834695e-01,1.076975098281871324e+00,4.231897832128536097e-01,6.551652949360574629e-01,1.475725834843303996e+00
7.483882689244213404e-01,9.730597272485778104e-01,8.251978363250612736e-01,9.423873639212625442e-01,1.397709944675523230e+00
